STATION NAME,DATE,DX32,DX90,EMNT,EMSN,EMXT,PRCP,SNOW,TAVG,TMAX,TMIN
TROY LOCK AND DAM NY,1980-01,11,0,6,0,58,0.28,0,25.9,34.3,17.5
TROY LOCK AND DAM NY,1980-02,15,0,-1,,53,0.52,,21.6,31.8,11.4
TROY LOCK AND DAM NY,1980-03,5,0,-2,0,63,2.74,0,32.6,42.1,23.1
TROY LOCK AND DAM NY,1980-04,0,0,26,0,73,3.22,0,49.1,59.9,38.3
TROY LOCK AND DAM NY,1980-05,0,1,39,0,90,1.39,0,60.6,73.1,48.2
TROY LOCK AND DAM NY,1980-06,0,3,41,0,95,4.67,0,65.5,77.4,53.7
TROY LOCK AND DAM NY,1980-08,0,8,51,0,93,2.64,0,73.3,83.8,62.8
TROY LOCK AND DAM NY,1980-09,0,2,37,0,93,2.38,0,63.9,75.3,52.5
TROY LOCK AND DAM NY,1980-11,2,0,19,9.5,62,2.88,9.5,36.6,44,29.1
TROY LOCK AND DAM NY,1980-12,20,0,-15,3.2,55,0.94,5.6,20.7,30.2,11.2
TROY LOCK AND DAM NY,1981-02,9,0,-4,3,64,5.29,4.5,31.5,41.8,21.3
TROY LOCK AND DAM NY,1981-06,0,1,49,0,94,2.55,0,68.5,78.6,58.5
TROY LOCK AND DAM NY,1981-08,0,0,49,0,89,2.93,0,71.2,81.9,60.5
TROY LOCK AND DAM NY,1981-11,1,0,22,0,65,1.54,0,40.9,48.9,32.8
TROY LOCK AND DAM NY,1982-01,21,0,-14,5,43,2.26,10.5,14.3,23.9,4.8
TROY LOCK AND DAM NY,1982-02,12,0,-2,4.5,46,2.13,7,23.7,33.5,13.9
TROY LOCK AND DAM NY,1982-03,4,0,-1,7,67,2.97,12.6,32.3,42.6,22
TROY LOCK AND DAM NY,1982-04,2,0,15,16.3,80,2.54,19.9,44.8,54.5,35
TROY LOCK AND DAM NY,1982-05,0,0,38,0,84,2.17,0,61.2,72.6,50
TROY LOCK AND DAM NY,1982-06,0,0,46,0,84,6.53,0,64.8,73.9,55.8
TROY LOCK AND DAM NY,1982-09,0,1,35,0,90,1.57,0,63.1,74.6,51.5
TROY LOCK AND DAM NY,1982-10,0,0,25,0,78,1.52,0,51.5,63.3,39.7
TROY LOCK AND DAM NY,1982-11,1,0,18,0,81,3.91,0,44.1,52.9,35.3
TROY LOCK AND DAM NY,1983-03,1,0,17,3,63,4.22,5.5,38.2,45.7,30.7
TROY LOCK AND DAM NY,1983-04,0,0,27,7,82,7.23,9,46.9,55.3,38.5
TROY LOCK AND DAM NY,1983-05,0,0,31,0,78,6.17,0,57.2,66.8,47.5
TROY LOCK AND DAM NY,1983-06,0,5,44,0,94,2.51,0,69.5,80.6,58.4
TROY LOCK AND DAM NY,1983-08,0,6,51,0,96,3.57,0,73,83.4,62.7
TROY LOCK AND DAM NY,1983-10,0,0,27,0,80,2.54,0,52.6,63.1,42.1
TROY LOCK AND DAM NY,1983-11,0,0,21,1,65,5.05,1,41.1,50,32.3
TROY LOCK AND DAM NY,1983-12,13,0,-5,3,49,5.14,3,26.6,33.2,19.9
TROY LOCK AND DAM NY,1984-01,21,0,-16,4.5,47,1.37,13.5,19.7,28.6,10.8
TROY LOCK AND DAM NY,1984-02,7,0,-6,3,59,2.74,4.5,32.2,40.9,23.6
TROY LOCK AND DAM NY,1984-03,,,2,16.5,,3.49,18.5,,,21.1
TROY LOCK AND DAM NY,1984-04,0,0,26,0,80,4.24,0,48.1,56.6,39.6
TROY LOCK AND DAM NY,1984-05,0,0,35,0,84,8.87,0,56.1,66,46.1
TROY LOCK AND DAM NY,1984-06,0,6,41,0,93,2.06,0,69.8,80.5,59.1
TROY LOCK AND DAM NY,1984-07,0,2,55,0,92,,0,72.1,81,63.3
TROY LOCK AND DAM NY,1984-08,0,0,48,0,89,3.97,0,73.3,82.3,64.2
TROY LOCK AND DAM NY,1984-09,0,0,39,0,85,1.63,0,61.2,71.2,51.2
TROY LOCK AND DAM NY,1984-11,0,0,20,0,67,1.91,0,40.8,50.3,31.4
TROY LOCK AND DAM NY,1984-12,5,0,9,6,69,2.39,10,34.5,42.1,26.9
TROY LOCK AND DAM NY,1985-01,24,0,-3,,54,0.57,,19.9,27.8,11.9
TROY LOCK AND DAM NY,1985-03,1,0,12,6,72,2.68,6,37,47.9,26.1
TROY LOCK AND DAM NY,1985-05,0,0,33,0,88,3,0,61.3,72.5,50
TROY LOCK AND DAM NY,1985-06,0,0,46,0,84,3.35,0,64.2,73,55.4
